kiem_tra,trang_thai,chi_tiet
Logistic Regression probability order D khớp Spark,PASS,"manual=0.0001448519905773873, Spark=0.00014485199057734377, độ lệch=4.3530717225293003e-17"
Số Random Forest feature importance bằng features vector,PASS,"importances=141, features=141"
Random Forest có đúng số decision tree đã cấu hình,PASS,"trees=30, weights=30"
Random Forest probability order A khớp Spark,PASS,"manual=0.13350572426609683, Spark=0.13350572426609683, độ lệch=0"
Order A có leaf index của mọi decision tree,PASS,"leaf indices=30, trees=30"
Leaf index tree 0 order A khớp leafCol,PASS,"predictLeaf=9.0, leafCol=9.0"
Leaf index tree 1 order A khớp leafCol,PASS,"predictLeaf=0.0, leafCol=0.0"
Leaf index tree 2 order A khớp leafCol,PASS,"predictLeaf=11.0, leafCol=11.0"
Leaf index tree 3 order A khớp leafCol,PASS,"predictLeaf=13.0, leafCol=13.0"
Leaf index tree 4 order A khớp leafCol,PASS,"predictLeaf=12.0, leafCol=12.0"
Leaf index tree 5 order A khớp leafCol,PASS,"predictLeaf=20.0, leafCol=20.0"
Leaf index tree 6 order A khớp leafCol,PASS,"predictLeaf=24.0, leafCol=24.0"
Leaf index tree 7 order A khớp leafCol,PASS,"predictLeaf=12.0, leafCol=12.0"
Leaf index tree 8 order A khớp leafCol,PASS,"predictLeaf=26.0, leafCol=26.0"
Leaf index tree 9 order A khớp leafCol,PASS,"predictLeaf=4.0, leafCol=4.0"
Leaf index tree 10 order A khớp leafCol,PASS,"predictLeaf=15.0, leafCol=15.0"
Leaf index tree 11 order A khớp leafCol,PASS,"predictLeaf=12.0, leafCol=12.0"
Leaf index tree 12 order A khớp leafCol,PASS,"predictLeaf=7.0, leafCol=7.0"
Leaf index tree 13 order A khớp leafCol,PASS,"predictLeaf=15.0, leafCol=15.0"
Leaf index tree 14 order A khớp leafCol,PASS,"predictLeaf=20.0, leafCol=20.0"
Leaf index tree 15 order A khớp leafCol,PASS,"predictLeaf=6.0, leafCol=6.0"
Leaf index tree 16 order A khớp leafCol,PASS,"predictLeaf=23.0, leafCol=23.0"
Leaf index tree 17 order A khớp leafCol,PASS,"predictLeaf=3.0, leafCol=3.0"
Leaf index tree 18 order A khớp leafCol,PASS,"predictLeaf=20.0, leafCol=20.0"
Leaf index tree 19 order A khớp leafCol,PASS,"predictLeaf=3.0, leafCol=3.0"
Leaf index tree 20 order A khớp leafCol,PASS,"predictLeaf=13.0, leafCol=13.0"
Leaf index tree 21 order A khớp leafCol,PASS,"predictLeaf=21.0, leafCol=21.0"
Leaf index tree 22 order A khớp leafCol,PASS,"predictLeaf=18.0, leafCol=18.0"
Leaf index tree 23 order A khớp leafCol,PASS,"predictLeaf=2.0, leafCol=2.0"
Leaf index tree 24 order A khớp leafCol,PASS,"predictLeaf=6.0, leafCol=6.0"
Leaf index tree 25 order A khớp leafCol,PASS,"predictLeaf=5.0, leafCol=5.0"
Leaf index tree 26 order A khớp leafCol,PASS,"predictLeaf=14.0, leafCol=14.0"
Leaf index tree 27 order A khớp leafCol,PASS,"predictLeaf=21.0, leafCol=21.0"
Leaf index tree 28 order A khớp leafCol,PASS,"predictLeaf=8.0, leafCol=8.0"
Leaf index tree 29 order A khớp leafCol,PASS,"predictLeaf=2.0, leafCol=2.0"
Tổng treeWeights contribution order A khớp rawPrediction,PASS,"tổng tree=[25.994828272017095, 4.0051717279829049], model raw=[25.994828272017099, 4.0051717279829058]"
Random Forest probability order B khớp Spark,PASS,"manual=0.12883516751028987, Spark=0.12883516751028987, độ lệch=0"
Order B có leaf index của mọi decision tree,PASS,"leaf indices=30, trees=30"
Leaf index tree 0 order B khớp leafCol,PASS,"predictLeaf=9.0, leafCol=9.0"
Leaf index tree 1 order B khớp leafCol,PASS,"predictLeaf=0.0, leafCol=0.0"
Leaf index tree 2 order B khớp leafCol,PASS,"predictLeaf=11.0, leafCol=11.0"
Leaf index tree 3 order B khớp leafCol,PASS,"predictLeaf=13.0, leafCol=13.0"
Leaf index tree 4 order B khớp leafCol,PASS,"predictLeaf=16.0, leafCol=16.0"
Leaf index tree 5 order B khớp leafCol,PASS,"predictLeaf=20.0, leafCol=20.0"
Leaf index tree 6 order B khớp leafCol,PASS,"predictLeaf=16.0, leafCol=16.0"
Leaf index tree 7 order B khớp leafCol,PASS,"predictLeaf=15.0, leafCol=15.0"
Leaf index tree 8 order B khớp leafCol,PASS,"predictLeaf=26.0, leafCol=26.0"
Leaf index tree 9 order B khớp leafCol,PASS,"predictLeaf=4.0, leafCol=4.0"
Leaf index tree 10 order B khớp leafCol,PASS,"predictLeaf=11.0, leafCol=11.0"
Leaf index tree 11 order B khớp leafCol,PASS,"predictLeaf=9.0, leafCol=9.0"
Leaf index tree 12 order B khớp leafCol,PASS,"predictLeaf=7.0, leafCol=7.0"
Leaf index tree 13 order B khớp leafCol,PASS,"predictLeaf=15.0, leafCol=15.0"
Leaf index tree 14 order B khớp leafCol,PASS,"predictLeaf=20.0, leafCol=20.0"
Leaf index tree 15 order B khớp leafCol,PASS,"predictLeaf=0.0, leafCol=0.0"
Leaf index tree 16 order B khớp leafCol,PASS,"predictLeaf=15.0, leafCol=15.0"
Leaf index tree 17 order B khớp leafCol,PASS,"predictLeaf=8.0, leafCol=8.0"
Leaf index tree 18 order B khớp leafCol,PASS,"predictLeaf=16.0, leafCol=16.0"
Leaf index tree 19 order B khớp leafCol,PASS,"predictLeaf=17.0, leafCol=17.0"
Leaf index tree 20 order B khớp leafCol,PASS,"predictLeaf=9.0, leafCol=9.0"
Leaf index tree 21 order B khớp leafCol,PASS,"predictLeaf=19.0, leafCol=19.0"
Leaf index tree 22 order B khớp leafCol,PASS,"predictLeaf=11.0, leafCol=11.0"
Leaf index tree 23 order B khớp leafCol,PASS,"predictLeaf=11.0, leafCol=11.0"
Leaf index tree 24 order B khớp leafCol,PASS,"predictLeaf=14.0, leafCol=14.0"
Leaf index tree 25 order B khớp leafCol,PASS,"predictLeaf=5.0, leafCol=5.0"
Leaf index tree 26 order B khớp leafCol,PASS,"predictLeaf=4.0, leafCol=4.0"
Leaf index tree 27 order B khớp leafCol,PASS,"predictLeaf=18.0, leafCol=18.0"
Leaf index tree 28 order B khớp leafCol,PASS,"predictLeaf=5.0, leafCol=5.0"
Leaf index tree 29 order B khớp leafCol,PASS,"predictLeaf=16.0, leafCol=16.0"
Tổng treeWeights contribution order B khớp rawPrediction,PASS,"tổng tree=[26.134944974691305, 3.8650550253086968], model raw=[26.134944974691305, 3.8650550253086964]"
Random Forest probability order C khớp Spark,PASS,"manual=0.062254984512976501, Spark=0.062254984512976501, độ lệch=0"
Order C có leaf index của mọi decision tree,PASS,"leaf indices=30, trees=30"
Leaf index tree 0 order C khớp leafCol,PASS,"predictLeaf=9.0, leafCol=9.0"
Leaf index tree 1 order C khớp leafCol,PASS,"predictLeaf=2.0, leafCol=2.0"
Leaf index tree 2 order C khớp leafCol,PASS,"predictLeaf=11.0, leafCol=11.0"
Leaf index tree 3 order C khớp leafCol,PASS,"predictLeaf=13.0, leafCol=13.0"
Leaf index tree 4 order C khớp leafCol,PASS,"predictLeaf=20.0, leafCol=20.0"
Leaf index tree 5 order C khớp leafCol,PASS,"predictLeaf=20.0, leafCol=20.0"
Leaf index tree 6 order C khớp leafCol,PASS,"predictLeaf=12.0, leafCol=12.0"
Leaf index tree 7 order C khớp leafCol,PASS,"predictLeaf=20.0, leafCol=20.0"
Leaf index tree 8 order C khớp leafCol,PASS,"predictLeaf=26.0, leafCol=26.0"
Leaf index tree 9 order C khớp leafCol,PASS,"predictLeaf=4.0, leafCol=4.0"
Leaf index tree 10 order C khớp leafCol,PASS,"predictLeaf=15.0, leafCol=15.0"
Leaf index tree 11 order C khớp leafCol,PASS,"predictLeaf=9.0, leafCol=9.0"
Leaf index tree 12 order C khớp leafCol,PASS,"predictLeaf=7.0, leafCol=7.0"
Leaf index tree 13 order C khớp leafCol,PASS,"predictLeaf=15.0, leafCol=15.0"
Leaf index tree 14 order C khớp leafCol,PASS,"predictLeaf=20.0, leafCol=20.0"
Leaf index tree 15 order C khớp leafCol,PASS,"predictLeaf=0.0, leafCol=0.0"
Leaf index tree 16 order C khớp leafCol,PASS,"predictLeaf=23.0, leafCol=23.0"
Leaf index tree 17 order C khớp leafCol,PASS,"predictLeaf=21.0, leafCol=21.0"
Leaf index tree 18 order C khớp leafCol,PASS,"predictLeaf=23.0, leafCol=23.0"
Leaf index tree 19 order C khớp leafCol,PASS,"predictLeaf=17.0, leafCol=17.0"
Leaf index tree 20 order C khớp leafCol,PASS,"predictLeaf=13.0, leafCol=13.0"
Leaf index tree 21 order C khớp leafCol,PASS,"predictLeaf=20.0, leafCol=20.0"
Leaf index tree 22 order C khớp leafCol,PASS,"predictLeaf=18.0, leafCol=18.0"
Leaf index tree 23 order C khớp leafCol,PASS,"predictLeaf=12.0, leafCol=12.0"
Leaf index tree 24 order C khớp leafCol,PASS,"predictLeaf=14.0, leafCol=14.0"
Leaf index tree 25 order C khớp leafCol,PASS,"predictLeaf=5.0, leafCol=5.0"
Leaf index tree 26 order C khớp leafCol,PASS,"predictLeaf=14.0, leafCol=14.0"
Leaf index tree 27 order C khớp leafCol,PASS,"predictLeaf=21.0, leafCol=21.0"
Leaf index tree 28 order C khớp leafCol,PASS,"predictLeaf=12.0, leafCol=12.0"
Leaf index tree 29 order C khớp leafCol,PASS,"predictLeaf=16.0, leafCol=16.0"
Tổng treeWeights contribution order C khớp rawPrediction,PASS,"tổng tree=[28.132350464610706, 1.8676495353892952], model raw=[28.132350464610706, 1.867649535389295]"
Random Forest probability order D khớp Spark,PASS,"manual=0.054934261389883575, Spark=0.054934261389883575, độ lệch=0"
Order D có leaf index của mọi decision tree,PASS,"leaf indices=30, trees=30"
Leaf index tree 0 order D khớp leafCol,PASS,"predictLeaf=9.0, leafCol=9.0"
Leaf index tree 1 order D khớp leafCol,PASS,"predictLeaf=5.0, leafCol=5.0"
Leaf index tree 2 order D khớp leafCol,PASS,"predictLeaf=11.0, leafCol=11.0"
Leaf index tree 3 order D khớp leafCol,PASS,"predictLeaf=13.0, leafCol=13.0"
Leaf index tree 4 order D khớp leafCol,PASS,"predictLeaf=26.0, leafCol=26.0"
Leaf index tree 5 order D khớp leafCol,PASS,"predictLeaf=22.0, leafCol=22.0"
Leaf index tree 6 order D khớp leafCol,PASS,"predictLeaf=17.0, leafCol=17.0"
Leaf index tree 7 order D khớp leafCol,PASS,"predictLeaf=15.0, leafCol=15.0"
Leaf index tree 8 order D khớp leafCol,PASS,"predictLeaf=33.0, leafCol=33.0"
Leaf index tree 9 order D khớp leafCol,PASS,"predictLeaf=4.0, leafCol=4.0"
Leaf index tree 10 order D khớp leafCol,PASS,"predictLeaf=14.0, leafCol=14.0"
Leaf index tree 11 order D khớp leafCol,PASS,"predictLeaf=9.0, leafCol=9.0"
Leaf index tree 12 order D khớp leafCol,PASS,"predictLeaf=3.0, leafCol=3.0"
Leaf index tree 13 order D khớp leafCol,PASS,"predictLeaf=15.0, leafCol=15.0"
Leaf index tree 14 order D khớp leafCol,PASS,"predictLeaf=20.0, leafCol=20.0"
Leaf index tree 15 order D khớp leafCol,PASS,"predictLeaf=17.0, leafCol=17.0"
Leaf index tree 16 order D khớp leafCol,PASS,"predictLeaf=26.0, leafCol=26.0"
Leaf index tree 17 order D khớp leafCol,PASS,"predictLeaf=9.0, leafCol=9.0"
Leaf index tree 18 order D khớp leafCol,PASS,"predictLeaf=10.0, leafCol=10.0"
Leaf index tree 19 order D khớp leafCol,PASS,"predictLeaf=17.0, leafCol=17.0"
Leaf index tree 20 order D khớp leafCol,PASS,"predictLeaf=3.0, leafCol=3.0"
Leaf index tree 21 order D khớp leafCol,PASS,"predictLeaf=20.0, leafCol=20.0"
Leaf index tree 22 order D khớp leafCol,PASS,"predictLeaf=19.0, leafCol=19.0"
Leaf index tree 23 order D khớp leafCol,PASS,"predictLeaf=12.0, leafCol=12.0"
Leaf index tree 24 order D khớp leafCol,PASS,"predictLeaf=14.0, leafCol=14.0"
Leaf index tree 25 order D khớp leafCol,PASS,"predictLeaf=10.0, leafCol=10.0"
Leaf index tree 26 order D khớp leafCol,PASS,"predictLeaf=14.0, leafCol=14.0"
Leaf index tree 27 order D khớp leafCol,PASS,"predictLeaf=17.0, leafCol=17.0"
Leaf index tree 28 order D khớp leafCol,PASS,"predictLeaf=19.0, leafCol=19.0"
Leaf index tree 29 order D khớp leafCol,PASS,"predictLeaf=12.0, leafCol=12.0"
Tổng treeWeights contribution order D khớp rawPrediction,PASS,"tổng tree=[28.351972158303493, 1.6480278416965075], model raw=[28.351972158303493, 1.6480278416965073]"
"Lần chạy lặp có cùng threshold, split, confusion matrix, metrics và A/B/C/D",PASS,"previous=ec543f47703be58e1068a1bebb9c44c632f3e9766da82d87ddb134b460c25dbd, current=ec543f47703be58e1068a1bebb9c44c632f3e9766da82d87ddb134b460c25dbd"
Dataset không bị sửa trong lần chạy,PASS,"hash trước=7301d0c09c808be88ef35203991797fcdf23c3b414f33de978c995b9371601e1, hash sau=7301d0c09c808be88ef35203991797fcdf23c3b414f33de978c995b9371601e1"
Output tồn tại và không rỗng: 05_thong_tin_chia_du_lieu.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_thong_tin_chia_du_lieu.csv
Output tồn tại và không rỗng: 05_preprocessing_details.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_preprocessing_details.csv
Output tồn tại và không rỗng: 05_string_indexer_mapping.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_string_indexer_mapping.csv
Output tồn tại và không rỗng: 05_feature_vector_metadata.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_feature_vector_metadata.csv
Output tồn tại và không rỗng: 05_validation_common_thresholds.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_validation_common_thresholds.csv
Output tồn tại và không rỗng: 05_xep_hang_common_threshold_F1.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_xep_hang_common_threshold_F1.csv
Output tồn tại và không rỗng: 05_so_sanh_threshold_thu_cong.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_so_sanh_threshold_thu_cong.csv
Output tồn tại và không rỗng: 05_common_threshold_duoc_chon.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_common_threshold_duoc_chon.csv
Output tồn tại và không rỗng: 05_ket_qua_validation_common_threshold.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_ket_qua_validation_common_threshold.csv
Output tồn tại và không rỗng: 05_confusion_matrix_validation.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_confusion_matrix_validation.csv
Output tồn tại và không rỗng: 05_ket_qua_test_common_threshold.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_ket_qua_test_common_threshold.csv
Output tồn tại và không rỗng: 05_confusion_matrix_test.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_confusion_matrix_test.csv
Output tồn tại và không rỗng: 05_ket_qua_baseline.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_ket_qua_baseline.csv
Output tồn tại và không rỗng: 05_logistic_coefficients.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_logistic_coefficients.csv
Output tồn tại và không rỗng: 05_logistic_score_breakdown_orders.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_logistic_score_breakdown_orders.csv
Output tồn tại và không rỗng: 05_random_forest_feature_importances.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_random_forest_feature_importances.csv
Output tồn tại và không rỗng: 05_random_forest_score_breakdown_orders.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_random_forest_score_breakdown_orders.csv
Output tồn tại và không rỗng: 05_random_forest_tree_details.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_random_forest_tree_details.csv
Output tồn tại và không rỗng: 05_roc_points_logistic_regression.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_roc_points_logistic_regression.csv
Output tồn tại và không rỗng: 05_roc_points_random_forest.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_roc_points_random_forest.csv
Output tồn tại và không rỗng: 05_roc_points_baseline.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_roc_points_baseline.csv
Output tồn tại và không rỗng: 05_auc_trapezoids_logistic_regression.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_auc_trapezoids_logistic_regression.csv
Output tồn tại và không rỗng: 05_auc_trapezoids_random_forest.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_auc_trapezoids_random_forest.csv
Output tồn tại và không rỗng: 05_auc_trapezoids_baseline.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_auc_trapezoids_baseline.csv
Output tồn tại và không rỗng: 05_demo_orders_A_B_C_D.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_demo_orders_A_B_C_D.csv
Output tồn tại và không rỗng: 05_danh_sach_feature.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_danh_sach_feature.csv
Output tồn tại và không rỗng: 05_so_sanh_mo_hinh.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_so_sanh_mo_hinh.csv
Output tồn tại và không rỗng: 05_ma_tran_nham_lan.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_ma_tran_nham_lan.csv
Output tồn tại và không rỗng: 05_chan_doan_xac_suat.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_chan_doan_xac_suat.csv
Output tồn tại và không rỗng: 05_reproducibility_signature.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_reproducibility_signature.csv
Output tồn tại và không rỗng: 05_reproducibility_check.csv,PASS,C:\data_python\olist_tieu_luan\outputs\tables\05_reproducibility_check.csv
Output tồn tại và không rỗng: 05_common_threshold_validation.png,PASS,C:\data_python\olist_tieu_luan\outputs\charts\05_common_threshold_validation.png
Output tồn tại và không rỗng: 05_confusion_matrix_logistic_regression.png,PASS,C:\data_python\olist_tieu_luan\outputs\charts\05_confusion_matrix_logistic_regression.png
Output tồn tại và không rỗng: 05_confusion_matrix_random_forest.png,PASS,C:\data_python\olist_tieu_luan\outputs\charts\05_confusion_matrix_random_forest.png
Output tồn tại và không rỗng: 05_confusion_matrix_baseline.png,PASS,C:\data_python\olist_tieu_luan\outputs\charts\05_confusion_matrix_baseline.png
Output tồn tại và không rỗng: 05_roc_curve_test.png,PASS,C:\data_python\olist_tieu_luan\outputs\charts\05_roc_curve_test.png
Output tồn tại và không rỗng: 05_probability_distribution_test.png,PASS,C:\data_python\olist_tieu_luan\outputs\charts\05_probability_distribution_test.png
Output tồn tại và không rỗng: 05_so_sanh_mo_hinh.png,PASS,C:\data_python\olist_tieu_luan\outputs\charts\05_so_sanh_mo_hinh.png
